ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_REDACAO
2457,463.9,645.3,393.0,360.0
2458,500.1,522.7,576.4,380.0
2459,386.1,505.4,383.1,520.0
2460,375.9,492.7,437.8,0.0
2461,469.3,468.3,377.3,460.0
2462,460.3,425.9,475.2,360.0
2463,500.0,535.2,481.5,660.0
2464,506.0,573.6,423.5,460.0
2465,552.3,589.2,441.8,320.0
2466,476.1,562.3,504.6,540.0
2467,488.6,660.1,443.4,640.0
2468,514.0,602.2,479.9,400.0
2469,625.9,499.3,561.7,480.0
2470,448.0,603.8,381.5,620.0
2471,531.0,637.9,702.8,660.0
2472,438.2,425.8,418.0,320.0
2473,397.4,576.3,437.8,0.0
2474,621.2,703.8,735.2,660.0
2475,487.8,465.9,522.9,280.0
2476,436.8,544.5,516.7,640.0
2477,597.4,535.3,493.2,460.0
2478,526.8,559.0,436.4,560.0
2479,426.3,447.4,407.6,0.0
2480,443.3,478.8,480.1,260.0
2481,463.1,556.1,475.2,340.0
2482,546.9,493.6,410.4,360.0
2483,417.5,574.5,403.1,400.0
2484,547.6,625.9,534.5,660.0
2485,578.4,465.0,538.2,560.0
2486,403.3,484.0,546.2,700.0
2487,439.7,627.2,644.9,500.0
2488,535.7,516.5,682.3,600.0
2489,417.3,424.3,410.3,560.0
2490,441.2,632.3,543.8,0.0
2491,407.4,459.2,452.7,520.0
2492,454.2,651.7,560.4,760.0
2493,423.1,543.8,411.2,540.0
2494,401.4,570.8,574.5,560.0
2495,626.9,570.8,658.0,660.0
2496,411.1,465.7,451.3,340.0
2497,537.2,613.5,634.8,900.0
2498,487.9,656.6,449.4,400.0
2499,663.7,653.3,781.4,540.0
2500,474.3,628.9,672.3,340.0
2501,535.4,610.4,496.7,460.0
2502,480.2,431.9,596.1,360.0
2503,497.3,567.1,624.4,540.0
2504,500.8,567.5,484.7,360.0
2505,404.3,649.0,512.2,820.0
2506,399.5,562.6,475.6,520.0
2507,573.7,626.0,693.9,700.0
2508,462.4,535.6,648.4,500.0
2509,450.3,449.2,400.2,600.0
2510,445.6,537.5,616.7,540.0
2511,589.1,484.4,524.0,600.0
2512,433.2,538.2,466.4,580.0
2513,453.7,446.7,395.6,720.0
2514,544.8,597.2,426.8,340.0
2515,489.4,507.1,585.4,340.0
2516,547.0,588.2,415.3,600.0
2517,437.5,603.0,453.2,460.0
2518,424.1,582.8,478.6,460.0
2519,400.7,636.6,568.7,600.0
2520,557.1,628.8,646.5,620.0
2521,504.5,574.7,602.4,280.0
2522,626.4,646.1,770.8,600.0
2523,420.7,540.7,388.2,340.0
2524,507.3,655.3,591.1,660.0
2525,378.4,510.0,480.5,340.0
2526,415.7,575.1,393.5,740.0
2527,520.8,631.1,470.6,560.0
2528,537.7,643.2,746.9,580.0
2529,394.9,594.9,502.1,400.0
2530,393.9,645.1,533.6,660.0
2531,377.6,581.6,597.1,340.0
2532,648.0,640.7,657.8,780.0
2533,567.9,675.0,574.9,700.0
2534,496.3,549.5,529.4,500.0
2535,549.1,573.5,505.5,260.0
2536,462.5,473.9,530.0,340.0
2537,618.0,681.8,560.7,740.0
2538,616.4,676.0,705.0,960.0
2539,378.9,577.3,385.1,320.0
2540,523.4,458.3,472.4,380.0
2541,578.9,613.5,610.8,540.0
2542,464.0,640.7,477.7,560.0
2543,419.6,402.2,456.2,480.0
2544,469.3,462.3,676.0,660.0
2545,648.9,651.5,782.6,900.0
2546,455.5,579.4,542.7,340.0
2547,694.2,762.9,852.5,920.0
2548,549.5,634.6,626.1,520.0
2549,556.5,638.1,718.7,480.0
2550,580.7,647.4,575.9,580.0
2551,553.6,634.7,584.8,600.0
2552,455.8,599.4,547.4,600.0
2553,483.4,569.7,504.8,620.0
2554,667.7,657.2,767.9,880.0
2555,451.0,450.3,453.7,300.0
2556,479.0,397.1,533.3,0.0
2557,542.7,613.6,510.2,480.0
2558,571.0,661.1,530.7,760.0
2559,405.2,604.2,497.7,480.0
2560,492.2,595.9,706.3,740.0
2561,663.5,687.2,749.3,860.0
2562,394.1,501.4,531.0,0.0
2563,565.4,630.9,662.6,800.0
2564,539.1,626.5,496.9,620.0
2565,408.3,417.4,410.8,540.0
2566,491.9,594.0,407.8,400.0
2567,457.0,589.4,463.0,660.0
2568,455.2,656.9,578.5,360.0
2569,436.9,511.1,499.3,600.0
2570,380.5,559.1,448.9,280.0
2571,517.8,514.6,683.1,360.0
2572,416.9,475.3,401.3,240.0
2573,449.0,412.2,448.0,360.0
2574,630.6,687.6,626.9,880.0
2575,472.2,547.8,488.3,360.0
2576,554.7,706.3,607.2,680.0
2577,608.3,646.6,769.2,680.0
2578,459.9,553.2,414.9,620.0
2579,391.8,579.6,410.8,360.0
2580,451.2,455.8,476.0,280.0
2581,588.4,626.4,550.8,660.0
2582,453.6,476.7,496.9,500.0
2583,402.4,528.7,444.4,580.0
2584,513.4,653.4,524.2,560.0
2585,401.0,577.2,481.1,0.0
2586,404.3,618.2,424.7,560.0
2587,506.5,503.9,478.5,400.0
2588,440.8,478.9,493.1,480.0
2589,571.7,595.2,588.4,660.0
2590,501.6,636.5,585.5,320.0
2591,585.4,645.6,602.8,360.0
2592,422.4,474.3,436.6,580.0
2593,452.2,479.2,398.2,340.0
2594,547.2,569.5,510.9,300.0
2595,573.6,498.1,452.3,480.0
2596,420.2,612.1,552.1,580.0
2597,447.3,483.6,476.8,240.0
2598,450.8,572.4,547.6,320.0
2599,634.8,612.8,696.0,660.0
2600,441.8,483.5,514.5,380.0
2601,463.9,488.6,510.9,520.0
2602,407.4,506.8,524.9,300.0
2603,408.2,498.3,397.2,340.0
2604,551.5,527.2,540.8,560.0
2605,504.5,646.1,605.7,220.0
2606,554.1,620.8,565.2,660.0
2607,517.5,585.6,481.0,340.0
2608,378.4,429.5,571.0,380.0
2609,488.0,593.6,660.6,640.0
2610,481.7,609.4,519.6,500.0
2611,517.8,576.2,465.2,600.0
2612,522.1,654.6,468.5,380.0
2613,459.3,481.1,454.8,320.0
2614,465.8,530.0,525.4,360.0
2615,434.2,570.1,538.9,700.0
2616,560.0,480.6,413.7,480.0
2617,394.7,480.0,477.6,560.0
2618,498.7,552.9,583.4,580.0
2619,595.7,616.0,628.1,820.0
2620,463.8,494.5,490.8,520.0
2621,424.2,616.5,506.2,340.0
2622,430.8,423.3,435.2,540.0
2623,592.4,636.7,645.2,840.0
2624,407.6,513.2,496.5,540.0
2625,410.5,447.8,502.4,520.0
2626,477.6,586.3,555.5,0.0
2627,490.4,612.5,493.4,440.0
2628,395.0,603.2,543.8,340.0
2629,492.3,657.4,482.6,560.0
2630,529.4,622.7,743.6,620.0
2631,452.4,550.0,633.6,360.0
2632,389.8,400.6,407.1,240.0
2633,445.2,537.8,464.9,320.0
2634,560.7,626.3,705.7,480.0
2635,556.4,592.4,566.9,360.0
2636,398.5,615.7,608.6,660.0
2637,646.9,643.7,730.3,800.0
2638,471.4,598.8,514.6,380.0
2639,526.5,620.4,737.6,380.0
2640,393.7,525.7,426.1,580.0
2641,716.9,685.3,763.6,720.0
2642,467.4,497.9,392.8,320.0
2643,593.1,639.9,678.1,760.0
2644,403.2,486.3,522.0,380.0
2645,458.6,420.7,497.6,340.0
2646,642.6,697.9,776.3,780.0
2647,454.0,473.5,475.4,620.0
2648,434.9,587.9,658.2,340.0
2649,389.4,433.3,445.0,360.0
2650,561.2,635.0,672.6,520.0
2651,441.5,592.5,486.3,280.0
2652,516.8,530.0,449.3,520.0
2653,527.7,655.4,438.9,340.0
2654,439.8,482.6,496.2,460.0
2655,468.4,604.5,416.6,460.0
2656,583.4,638.4,729.7,820.0
2657,458.0,576.9,418.4,620.0
2658,447.1,617.6,531.7,620.0
2659,462.9,431.9,434.9,560.0
2660,421.7,567.3,516.0,520.0
2661,603.9,689.5,686.9,920.0
2662,650.6,702.4,800.5,680.0
2663,427.8,454.8,447.2,380.0
2664,633.4,679.0,595.1,760.0
2665,566.0,677.8,610.1,580.0
2666,441.8,454.3,385.9,240.0
2667,485.8,430.8,404.8,380.0
2668,515.8,609.5,495.6,680.0
2669,467.2,515.8,477.5,560.0
2670,407.1,481.3,411.9,320.0
2671,517.5,603.1,456.2,620.0
2672,577.9,612.3,646.6,540.0
2673,413.8,461.2,532.5,340.0
2674,578.2,609.5,398.3,400.0
2675,410.2,569.2,428.2,480.0
2676,575.9,590.0,522.4,940.0
2677,450.9,581.8,552.4,500.0
2678,456.8,588.0,562.5,420.0
2679,424.6,622.0,676.7,540.0
2680,651.7,634.1,666.0,860.0
2681,419.9,465.6,411.8,0.0
2682,463.5,548.5,561.4,360.0
2683,430.4,592.8,539.1,400.0
2684,382.8,502.4,379.4,600.0
2685,402.9,603.6,704.2,380.0
2686,655.5,676.1,688.1,860.0
2687,490.2,545.8,515.0,360.0
2688,415.1,606.6,517.4,680.0
2689,409.0,470.6,420.4,360.0
2690,543.8,690.4,641.9,720.0
2691,408.2,640.3,440.8,480.0
2692,525.1,435.6,597.6,480.0
2693,441.6,627.2,617.7,480.0
2694,599.7,644.6,602.1,660.0
2695,502.1,615.1,530.9,540.0
2696,450.0,585.3,393.4,640.0
2697,557.0,597.5,533.0,700.0
2698,505.4,446.6,423.5,500.0
2699,662.6,684.8,741.3,800.0
2700,477.3,579.3,479.9,360.0
2701,521.8,490.2,435.3,320.0
2702,446.0,593.0,447.3,300.0
2703,426.4,438.5,556.7,700.0
2704,494.8,460.6,418.1,320.0
2705,544.8,548.3,585.2,720.0
2706,494.0,509.0,487.6,560.0
2707,386.1,559.0,498.3,460.0
2708,440.0,623.4,446.9,640.0
2709,628.7,653.4,476.2,800.0
2710,422.2,580.9,546.1,360.0
2711,595.6,683.9,470.4,880.0
2712,453.8,564.2,574.6,440.0
2713,542.5,637.6,676.2,740.0
2714,460.5,588.1,636.3,920.0
2715,397.9,622.8,577.7,440.0
2716,526.8,450.6,463.1,380.0
2717,495.3,432.5,484.1,240.0
2718,533.8,421.0,543.0,360.0
2719,410.3,540.6,530.7,420.0
2720,420.8,633.8,685.1,560.0
2721,605.6,653.2,709.6,640.0
2722,475.4,653.8,741.6,540.0
2723,498.7,606.5,449.3,520.0
2724,419.3,570.4,542.7,480.0
2725,473.6,569.5,540.7,620.0
2726,474.9,550.7,506.4,440.0
2727,517.3,657.6,705.8,740.0
2728,413.4,550.7,394.8,360.0
2729,483.1,633.6,509.7,640.0
2730,451.3,445.4,401.6,300.0
2731,714.8,739.2,771.1,880.0
2732,386.0,435.0,422.0,560.0
2733,404.4,635.7,462.0,360.0
2734,466.8,518.1,430.9,740.0
2735,509.4,590.6,472.2,600.0
2736,578.8,635.2,572.0,560.0
2737,494.3,596.9,538.1,680.0
2738,536.0,581.2,463.4,600.0
2739,510.1,591.1,390.3,600.0
2740,399.5,598.1,520.6,320.0
2741,413.3,578.2,634.0,800.0
2742,411.8,613.6,516.3,320.0
2743,376.1,598.3,465.3,320.0
2744,472.5,480.5,451.3,560.0
2745,435.1,565.4,643.7,620.0
2746,560.1,489.7,515.9,440.0
2747,583.7,631.9,531.2,700.0
2748,528.9,636.4,530.7,780.0
2749,620.8,678.3,817.3,680.0
2750,451.6,637.1,559.8,620.0
2751,482.2,645.1,706.5,700.0
2752,601.0,687.2,715.9,560.0
2753,405.3,546.2,408.1,360.0
2754,631.6,676.9,655.8,880.0
2755,478.9,591.3,529.3,360.0
2756,473.7,503.1,556.3,320.0
2757,404.8,507.7,408.0,580.0
2758,539.5,528.9,556.9,360.0
2759,450.5,646.3,594.9,620.0
2760,429.7,498.0,483.9,280.0
2761,554.8,557.9,465.6,260.0
2762,498.8,679.7,450.9,820.0
2763,412.9,625.3,529.8,740.0
2764,550.3,667.2,541.4,560.0
2765,471.3,527.2,605.0,360.0
2766,446.1,415.1,579.4,360.0
2767,584.8,651.2,700.1,580.0
2768,541.9,599.7,634.8,640.0
2769,516.2,529.9,479.7,600.0
2770,595.0,545.8,672.6,400.0
2771,421.7,516.4,430.9,560.0
2772,399.1,414.6,432.1,320.0
2773,494.9,662.0,594.5,520.0
2774,612.3,631.3,600.4,760.0
2775,379.1,450.7,490.0,480.0
2776,560.1,558.2,474.8,580.0
2777,540.3,621.6,482.0,800.0
2778,480.5,601.3,410.9,420.0
2779,435.4,545.1,620.5,340.0
2780,587.3,661.3,722.4,680.0
2781,466.7,426.0,411.1,240.0
2782,456.2,626.3,637.5,360.0
2783,427.0,558.9,384.7,260.0
2784,498.0,607.0,619.9,360.0
2785,473.7,503.8,453.2,340.0
2786,430.6,431.0,463.3,540.0
2787,550.4,663.7,715.6,520.0
2788,468.4,622.4,535.8,620.0
2789,450.3,466.2,375.5,300.0
2790,397.2,446.6,403.2,320.0
2791,546.2,686.7,505.3,820.0
2792,482.2,653.9,486.6,600.0
2793,559.3,587.2,554.9,500.0
2794,427.4,436.5,441.5,300.0
2795,494.5,510.5,498.7,320.0
2796,481.9,594.1,581.0,620.0
2797,525.8,625.7,552.6,460.0
2798,510.5,662.3,370.8,440.0
2799,456.7,452.8,496.3,560.0
2800,451.7,532.4,538.6,340.0
2801,412.9,498.8,492.7,260.0
2802,541.8,662.6,629.1,560.0
2803,446.0,479.5,400.9,340.0
2804,454.6,501.8,486.3,0.0
2805,559.0,677.1,553.2,680.0
2806,628.8,680.5,776.4,560.0
2807,586.2,652.2,682.8,700.0
2808,465.4,629.0,497.3,740.0
2809,639.0,706.3,717.4,480.0
2810,577.3,634.3,633.5,380.0
2811,434.0,551.9,460.9,300.0
2812,580.5,589.6,504.1,720.0
2813,403.7,568.4,413.3,360.0
2814,434.0,452.2,438.1,220.0
2815,619.6,624.0,742.0,640.0
2816,448.7,508.0,507.6,480.0
2817,466.5,618.1,532.8,600.0
2818,465.0,690.9,601.4,540.0
2819,451.5,565.5,439.6,700.0
2820,430.9,575.8,464.3,360.0
2821,412.6,597.8,524.3,600.0
2822,527.0,608.5,562.7,580.0
2823,581.4,654.1,612.6,620.0
2824,523.9,623.0,567.1,600.0
2825,591.0,669.9,655.8,600.0
2826,378.7,539.3,400.5,340.0
2827,494.7,599.7,420.0,400.0
2828,497.8,621.6,383.4,600.0
2829,486.8,573.9,503.9,780.0
2830,532.1,451.2,423.0,0.0
2831,536.8,655.0,615.7,480.0
2832,577.6,660.5,654.8,660.0
2833,560.1,635.0,701.3,640.0
2834,607.0,697.3,699.1,660.0
2835,503.2,541.0,453.0,280.0
2836,449.4,558.6,453.1,600.0
2837,455.2,604.6,457.4,640.0
2838,489.9,619.5,463.9,400.0
2839,391.6,475.9,466.4,380.0
2840,435.2,497.1,525.1,360.0
2841,529.6,598.7,480.0,560.0
2842,407.1,523.7,529.5,380.0
2843,378.3,608.9,452.0,580.0
2844,622.7,700.6,794.4,800.0
2845,433.5,573.9,477.3,400.0
2846,432.0,405.1,646.1,440.0
2847,570.4,675.4,538.8,600.0
2848,486.4,577.6,506.3,380.0
2849,580.3,639.6,642.8,600.0
2850,480.9,623.3,666.2,520.0
2851,554.1,661.1,701.0,560.0
2852,569.4,674.6,733.9,880.0
2853,444.9,531.2,409.7,440.0
2854,624.5,692.2,680.4,720.0
2855,521.2,618.5,709.3,560.0
2856,483.8,587.1,674.6,680.0
2857,470.9,604.5,507.1,420.0
2858,525.5,615.4,377.7,340.0
2859,525.1,605.3,669.4,640.0
2860,401.7,444.4,492.0,400.0
2861,415.3,559.4,535.8,520.0
2862,545.7,625.5,477.6,880.0
2863,498.9,691.3,441.1,800.0
2864,422.2,576.7,387.7,300.0
2865,446.7,602.2,496.2,480.0
2866,457.0,539.8,442.9,300.0
2867,577.4,643.2,596.8,620.0
2868,597.3,713.6,714.5,760.0
2869,654.7,689.1,731.9,920.0
2870,482.4,539.8,551.0,440.0
2871,414.7,453.7,466.5,560.0
2872,476.2,629.9,461.9,360.0
2873,429.6,543.8,501.3,300.0
2874,555.2,495.4,547.5,560.0
2875,565.3,591.5,518.7,620.0
2876,470.7,614.3,448.4,300.0
2877,469.4,560.0,497.2,340.0
2878,771.1,739.3,898.0,480.0
2879,455.6,619.3,464.1,640.0
2880,534.7,590.5,478.3,540.0
2881,473.6,405.5,519.9,720.0
2882,537.2,621.5,537.3,580.0
2883,509.2,406.9,528.7,540.0
2884,549.1,649.6,616.6,540.0
2885,436.7,449.1,436.5,340.0
2886,624.8,662.1,712.4,560.0
2887,520.8,458.6,465.0,540.0
2888,482.4,589.3,495.4,620.0
2889,574.4,665.8,750.0,720.0
2890,640.8,647.8,739.4,600.0
2891,498.9,529.7,588.4,480.0
2892,468.9,578.1,568.5,360.0
2893,431.7,522.7,517.3,320.0
2894,432.0,475.3,553.6,440.0
2895,662.9,700.5,876.7,880.0
2896,576.1,605.0,681.7,640.0
2897,606.7,612.1,536.9,580.0
2898,390.7,449.1,422.7,320.0
2899,531.4,594.7,435.5,660.0
2900,533.4,597.9,543.9,320.0
2901,466.5,606.0,459.1,720.0
2902,462.5,637.5,632.6,760.0
2903,490.9,492.9,479.0,440.0
2904,563.4,631.7,541.0,620.0
2905,560.3,670.4,436.2,580.0
2906,439.6,598.6,522.3,660.0
2907,546.5,603.5,608.3,660.0
2908,467.9,502.4,386.1,480.0
2909,515.3,523.4,447.9,580.0
2910,414.1,552.4,421.0,460.0
2911,581.4,682.2,587.8,400.0
2912,465.6,569.2,550.2,360.0
2913,567.0,687.9,691.5,780.0
2914,475.7,412.3,598.4,640.0
2915,403.5,408.9,474.5,440.0
2916,531.8,602.5,687.0,740.0
2917,372.4,527.0,473.9,340.0
2918,523.1,598.3,546.3,300.0
2919,441.4,549.3,414.1,160.0
2920,546.7,624.7,428.6,740.0
2921,515.5,488.8,474.1,680.0
2922,460.0,511.6,527.7,320.0
2923,443.6,600.5,561.3,740.0
2924,447.1,568.5,468.1,520.0
2925,473.7,661.7,385.7,520.0
2926,596.6,692.8,673.9,820.0
2927,531.3,648.2,486.4,360.0
2928,409.5,588.5,624.4,360.0
2929,458.5,624.4,673.0,640.0
2930,398.0,436.6,463.5,460.0
2931,526.2,617.6,512.0,720.0
2932,476.3,635.6,588.5,780.0
2933,518.3,531.6,475.5,240.0
2934,576.0,599.9,525.9,780.0
2935,613.5,447.4,457.4,360.0
2936,641.2,682.2,770.0,940.0
2937,565.7,689.2,561.4,680.0
2938,488.9,425.6,407.7,280.0
2939,503.1,625.3,535.2,600.0
2940,598.8,592.9,708.9,380.0
2941,444.9,661.5,701.1,620.0
2942,665.0,678.4,715.6,660.0
2943,438.3,641.9,436.3,780.0
2944,511.2,481.5,533.3,520.0
2945,540.3,699.2,716.9,800.0
2946,515.5,530.6,545.0,540.0
2947,458.9,641.4,576.4,620.0
2948,524.4,546.2,458.8,560.0
2949,482.0,645.4,589.2,940.0
2950,663.8,682.5,733.0,940.0
2951,463.3,575.6,418.9,380.0
2952,583.3,613.5,537.5,360.0
2953,477.0,413.5,507.2,0.0
2954,465.0,525.8,493.1,500.0
2955,410.3,474.7,440.3,380.0
2956,611.1,610.3,464.9,320.0
2957,477.6,546.3,490.2,420.0
2958,550.2,670.3,622.4,680.0
2959,513.6,649.2,539.0,440.0
2960,472.1,597.1,630.9,520.0
2961,653.9,695.9,741.3,840.0
2962,424.0,618.7,533.1,0.0
2963,464.6,404.1,483.5,440.0
2964,484.4,555.0,417.5,320.0
2965,401.0,537.2,491.8,500.0
2966,432.5,438.6,374.3,520.0
2967,456.6,576.7,436.3,580.0
2968,387.6,570.5,525.8,540.0
2969,478.0,453.5,414.7,0.0
2970,459.7,607.1,510.5,720.0
2971,679.2,733.8,847.9,960.0
2972,559.7,617.9,493.6,360.0
2973,547.9,468.4,651.1,620.0
2974,544.9,624.0,549.0,560.0
2975,517.9,607.5,644.4,720.0
2976,563.7,564.4,684.6,560.0
2977,432.0,546.0,496.2,300.0
2978,603.9,636.9,658.4,940.0
2979,464.8,592.3,522.1,560.0
2980,528.6,629.2,489.7,680.0
2981,587.6,676.5,653.1,660.0
2982,636.4,657.5,572.5,580.0
2983,427.7,437.7,442.4,0.0
2984,441.2,476.8,488.7,440.0
2985,461.7,625.1,511.1,580.0
2986,515.6,528.2,425.2,580.0
2987,472.1,468.5,396.7,320.0
2988,427.6,409.1,454.5,400.0
2989,409.2,489.7,521.8,620.0
2990,531.8,604.5,544.9,540.0
2991,518.4,700.8,602.9,860.0
2992,483.7,652.1,444.0,660.0
2993,470.4,609.5,490.3,520.0
2994,422.9,590.1,433.9,340.0
2995,401.4,530.8,419.9,420.0
2996,629.5,668.5,725.3,840.0
2997,380.3,430.4,604.5,580.0
2998,409.7,566.6,511.7,640.0
2999,419.2,633.1,687.5,520.0
3000,379.5,607.8,487.1,440.0
3001,696.5,711.7,839.1,960.0
3002,532.4,577.4,466.0,500.0
3003,535.5,493.5,463.1,420.0
3004,517.0,606.7,548.8,580.0
3005,428.1,591.4,454.0,360.0
3006,430.5,602.3,602.2,760.0
3007,489.7,604.1,431.6,520.0
3008,461.8,594.6,598.2,660.0
3009,628.1,670.3,628.9,940.0
3010,488.9,622.7,429.9,380.0
3011,590.7,681.8,838.9,680.0
3012,546.7,641.7,658.5,640.0
3013,548.1,448.9,530.8,920.0
3014,668.0,709.0,739.2,920.0
3015,395.5,480.8,602.3,380.0
3016,490.0,603.3,409.8,720.0
3017,398.1,467.7,456.3,0.0
3018,653.2,663.2,723.0,920.0
3019,404.9,640.2,374.3,440.0
3020,477.0,635.2,459.5,620.0
3021,581.1,630.5,479.4,760.0
3022,448.4,558.4,470.4,380.0
3023,431.2,673.7,918.7,760.0
3024,457.6,600.7,441.5,340.0
3025,537.8,602.6,459.3,600.0
3026,608.5,695.8,637.1,900.0
3027,498.9,562.3,600.4,360.0
3028,456.9,571.7,384.5,560.0
3029,423.7,571.5,534.3,540.0
3030,650.2,630.0,590.2,400.0
3031,404.4,529.9,442.2,300.0
3032,490.1,506.7,535.9,560.0
3033,438.6,471.9,438.6,520.0
3034,481.5,488.3,570.7,560.0
3035,463.6,449.7,495.8,360.0
3036,438.1,571.0,387.6,220.0
3037,442.2,552.8,436.0,360.0
3038,440.4,401.6,593.1,240.0
3039,517.7,618.5,592.1,600.0
3040,487.3,556.2,523.9,340.0
3041,570.0,466.9,700.7,620.0
3042,503.9,451.1,457.5,620.0
3043,476.6,564.9,458.5,300.0
3044,396.6,483.0,599.9,380.0
3045,442.7,408.9,383.8,480.0
3046,438.5,482.4,423.9,560.0
3047,574.5,542.7,570.6,580.0
3048,437.8,508.7,383.4,400.0
3049,385.3,446.3,402.7,360.0
3050,480.5,626.8,466.5,340.0
3051,387.6,481.3,484.3,620.0
3052,452.2,495.9,549.3,460.0
3053,575.1,659.4,564.3,860.0
3054,450.3,580.1,586.0,540.0
3055,442.4,535.8,407.2,620.0
3056,416.7,455.6,446.6,480.0
3057,530.7,581.5,566.6,720.0
3058,434.1,413.7,397.2,340.0
3059,442.3,517.8,436.6,460.0
3060,429.1,616.3,537.3,420.0
3061,534.3,570.0,461.7,440.0
3062,431.7,489.3,554.7,0.0
3063,383.0,503.3,506.2,360.0
3064,451.2,718.9,602.0,580.0
3065,491.8,586.7,654.8,660.0
3066,555.9,647.9,525.3,640.0
3067,450.7,637.9,589.2,660.0
3068,391.7,493.2,522.4,300.0
3069,408.9,615.5,471.4,500.0
3070,482.4,654.9,428.7,380.0
3071,413.9,628.6,562.6,360.0
3072,482.7,563.0,511.6,640.0
3073,444.7,634.3,422.0,400.0
3074,466.7,616.8,496.2,560.0
3075,551.5,529.0,403.0,440.0
3076,422.0,497.5,460.9,380.0
3077,543.4,620.0,555.2,720.0
3078,664.6,687.7,862.4,960.0
3079,552.7,608.7,513.5,800.0
3080,606.1,647.5,691.0,780.0
3081,510.7,623.6,681.5,660.0
3082,409.6,646.8,548.3,580.0
3083,522.4,651.0,573.6,540.0
3084,483.7,568.4,502.2,520.0
3085,546.5,619.1,518.4,640.0
3086,426.0,594.0,426.4,0.0
3087,394.8,420.6,576.8,480.0
3088,520.4,581.0,442.4,580.0
3089,391.5,417.1,492.8,400.0
3090,450.3,628.6,528.4,320.0
3091,688.1,698.1,780.4,860.0
3092,441.0,403.9,445.5,700.0
3093,521.5,645.7,459.2,260.0
3094,604.3,655.2,592.8,560.0
3095,527.6,584.5,511.2,420.0
3096,445.6,463.5,436.7,320.0
3097,576.9,537.3,590.9,540.0
3098,394.1,525.6,503.5,580.0
3099,443.7,513.7,466.8,460.0
3100,421.7,524.2,559.8,620.0
3101,737.0,718.2,799.1,800.0
3102,449.6,640.0,538.5,740.0
3103,508.5,650.3,687.5,620.0
3104,689.8,681.2,777.2,920.0
3105,503.4,598.6,482.4,360.0
3106,484.9,626.4,545.7,600.0
3107,375.1,551.5,521.2,0.0
3108,479.0,606.3,409.1,540.0
3109,438.7,450.0,411.5,540.0
3110,492.5,602.5,637.9,480.0
3111,464.4,621.6,592.0,560.0
3112,573.6,672.7,591.4,820.0
3113,554.7,512.3,476.3,640.0
3114,501.0,431.4,378.6,620.0
3115,484.1,473.1,447.1,340.0
3116,468.0,619.0,638.4,420.0
3117,441.0,650.9,767.9,560.0
3118,487.1,593.6,467.9,680.0
3119,575.3,597.8,534.4,400.0
3120,437.3,544.8,410.3,560.0
3121,403.5,537.4,448.6,280.0
3122,563.7,614.4,514.4,520.0
3123,467.1,653.0,436.2,800.0
3124,555.7,673.9,644.9,380.0
3125,437.3,443.4,519.9,500.0
3126,423.0,502.3,521.0,540.0
3127,444.0,599.1,414.9,300.0
3128,582.9,623.5,542.5,840.0
3129,455.5,534.1,488.2,340.0
3130,496.8,574.3,495.4,600.0
3131,412.3,473.5,458.0,320.0
3132,467.1,665.7,755.7,600.0
3133,468.7,615.5,512.4,520.0
3134,410.7,558.6,417.6,460.0
3135,376.9,519.8,468.9,520.0
3136,629.7,645.6,701.6,700.0
3137,691.2,681.1,759.6,800.0
3138,455.8,543.2,474.5,620.0
3139,410.3,479.9,403.7,260.0
3140,472.9,494.8,385.5,0.0
3141,496.0,468.9,478.3,0.0
3142,595.2,670.2,738.4,840.0
3143,529.7,620.2,609.1,480.0
3144,458.7,434.7,416.3,560.0
3145,548.6,473.7,632.0,320.0
3146,589.5,659.5,559.0,520.0
3147,411.1,504.9,439.7,540.0
3148,497.4,634.8,636.7,680.0
3149,539.6,600.3,404.8,560.0
3150,406.6,565.3,442.4,300.0
3151,428.3,606.0,543.4,520.0
3152,419.8,599.1,501.7,720.0
3153,405.9,462.2,593.0,600.0
3154,405.9,638.6,592.4,640.0
3155,631.2,635.9,491.7,400.0
3156,638.3,673.3,656.9,0.0
3157,484.4,661.0,700.5,540.0
3158,550.6,583.5,749.1,660.0
3159,555.2,585.0,466.0,420.0
3160,381.4,543.8,398.9,360.0
3161,579.8,674.4,725.3,800.0
3162,402.9,502.1,487.9,0.0
3163,460.4,613.0,515.1,580.0
3164,411.7,627.7,461.0,520.0
3165,505.5,452.2,536.3,620.0
3166,437.1,491.6,430.3,340.0
3167,392.2,440.2,438.9,320.0
3168,587.1,562.6,644.8,560.0
3169,389.4,576.5,401.0,360.0
3170,566.5,669.4,686.0,880.0
3171,567.9,661.1,571.1,780.0
3172,447.4,427.6,441.5,280.0
3173,444.6,544.9,386.6,280.0
3174,374.6,437.2,396.3,0.0
3175,514.9,452.6,498.7,380.0
3176,489.1,470.4,462.6,280.0
3177,615.6,659.4,536.6,840.0
3178,515.0,650.7,572.8,680.0
3179,430.4,623.1,683.4,460.0
3180,505.1,462.8,447.2,480.0
3181,522.6,675.8,745.9,600.0
3182,414.4,593.9,495.0,640.0
3183,525.1,670.7,627.8,820.0
3184,471.5,554.6,527.2,400.0
3185,441.4,404.2,426.2,340.0
3186,558.9,662.9,676.0,440.0
3187,562.8,666.5,550.9,700.0
3188,474.2,593.1,473.9,560.0
3189,430.7,610.3,532.9,500.0
3190,453.1,620.1,438.3,480.0
